earthquakeData/_id,earthquakeData/earthquake_id,earthquakeData/provider,earthquakeData/title,earthquakeData/date,earthquakeData/mag,earthquakeData/depth,earthquakeData/geojson/type,earthquakeData/geojson/coordinates/0,earthquakeData/geojson/coordinates/1,earthquakeData/location_properties/closestCity/name,earthquakeData/location_properties/closestCity/cityCode,earthquakeData/location_properties/closestCity/distance,earthquakeData/location_properties/closestCity/population,earthquakeData/location_properties/epiCenter/name,earthquakeData/location_properties/epiCenter/cityCode,earthquakeData/location_properties/epiCenter/population,earthquakeData/location_properties/closestCities/0/name,earthquakeData/location_properties/closestCities/0/cityCode,earthquakeData/location_properties/closestCities/0/distance,earthquakeData/location_properties/closestCities/0/population,earthquakeData/location_properties/closestCities/0/_id,earthquakeData/location_properties/closestCities/1/name,earthquakeData/location_properties/closestCities/1/cityCode,earthquakeData/location_properties/closestCities/1/distance,earthquakeData/location_properties/closestCities/1/population,earthquakeData/location_properties/closestCities/1/_id,earthquakeData/location_properties/closestCities/2/name,earthquakeData/location_properties/closestCities/2/cityCode,earthquakeData/location_properties/closestCities/2/distance,earthquakeData/location_properties/closestCities/2/population,earthquakeData/location_properties/closestCities/2/_id,earthquakeData/location_properties/closestCities/3/name,earthquakeData/location_properties/closestCities/3/cityCode,earthquakeData/location_properties/closestCities/3/distance,earthquakeData/location_properties/closestCities/3/population,earthquakeData/location_properties/closestCities/3/_id,earthquakeData/location_properties/closestCities/4/name,earthquakeData/location_properties/closestCities/4/cityCode,earthquakeData/location_properties/closestCities/4/distance,earthquakeData/location_properties/closestCities/4/population,earthquakeData/location_properties/closestCities/4/_id,earthquakeData/__v
65186aa59bd79ef648675c96,8d4Y2M7XN1D80,kandilli,SOGUKPINAR-GOKSUN (KAHRAMANMARAS),2023-09-30T08:52:40.000Z,1.8,5,Point,36.4207,38.0448,Kayseri,38,76170.11034936235,1441523,Kahramanmaraş,46,1177436,Kayseri,38,76170.11034936235,1441523,65186aa59bd79ef648675c97,Osmaniye,80,83354.55269812068,559405,65186aa59bd79ef648675c98,Adana,1,91429.9736822332,2274106,65186aa59bd79ef648675c99,Gaziantep,27,127784.79061638992,2154051,65186aa59bd79ef648675c9a,Niğde,51,150112.29801196422,365419,65186aa59bd79ef648675c9b,0
65186aa59bd79ef648675c9d,x4ru6QxSNKVmN,kandilli,AKDENIZ,2023-09-30T08:42:45.000Z,2.3,9.6,Point,33.3985,34.7467,Kıbrıs,82,43557.70442028529,888000,Kıbrıs Açıkları,-1,,Kıbrıs,82,43557.70442028529,888000,65186aa59bd79ef648675c9e,Mersin,33,221097.1850732953,1916432,65186aa59bd79ef648675c9f,Lübnan,961,246501.499493775,,65186aa59bd79ef648675ca0,Karaman,70,252826.75139295016,260838,65186aa59bd79ef648675ca1,Hatay,31,317446.9310874303,1686043,65186aa59bd79ef648675ca2,0
65186aa59bd79ef648675ca4,daZR7K0YWLSdg,kandilli,TURKIYE-SURIYE SINIR BOLGESI,2023-09-30T08:35:58.000Z,1.5,21,Point,36.0048,35.7997,Hatay,31,72258.54197186494,1686043,Suriye,963,,Hatay,31,72258.54197186494,1686043,65186aa59bd79ef648675ca5,Kilis,79,152441.86664008605,147919,65186aa59bd79ef648675ca6,Osmaniye,80,169018.75153225963,559405,65186aa59bd79ef648675ca7,Gaziantep,27,182386.967009934,2154051,65186aa59bd79ef648675ca8,Adana,1,192127.53747236892,2274106,65186aa59bd79ef648675ca9,0
65186aa59bd79ef648675cab,ugl0JERtsskih,kandilli,PAYAMBURNU-GOKSUN (KAHRAMANMARAS),2023-09-30T08:32:41.000Z,2.2,5.9,Point,36.2877,37.88,Kahramanmaraş,46,62006.658255434035,1177436,Adana,1,2274106,Kahramanmaraş,46,62006.658255434035,1177436,65186aa59bd79ef648675cac,Osmaniye,80,64241.614936765596,559405,65186aa59bd79ef648675cad,Kayseri,38,87037.41294267823,1441523,65186aa59bd79ef648675cae,Gaziantep,27,121148.26924374388,2154051,65186aa59bd79ef648675caf,Niğde,51,137679.3623582898,365419,65186aa59bd79ef648675cb0,0
65186aa59bd79ef648675cb2,HGRS01u8MNc8Z,kandilli,YAGMURLU-GOKSUN (KAHRAMANMARAS),2023-09-30T08:24:35.000Z,3.2,2.3,Point,36.5828,38.1012,Kayseri,38,80438.02844685988,1441523,Kahramanmaraş,46,1177436,Kayseri,38,80438.02844685988,1441523,65186aa59bd79ef648675cb3,Osmaniye,80,92478.71335394461,559405,65186aa59bd79ef648675cb4,Adana,1,106353.12296219372,2274106,65186aa59bd79ef648675cb5,Gaziantep,27,125722.29046447494,2154051,65186aa59bd79ef648675cb6,Malatya,44,144462.7104997772,812580,65186aa59bd79ef648675cb7,0
65186aa69bd79ef648675cb9,DmVbOm0KQyQdI,kandilli,GUZELKOY ACIKLARI-TEKIRDAG (MARMARA DENIZI),2023-09-30T08:06:27.000Z,1.5,15.4,Point,27.4545,40.761,Tekirdağ,59,36164.340008871295,1142451,Marmara Denizi,-1,,Tekirdağ,59,36164.340008871295,1142451,65186aa69bd79ef648675cba,Edirne,22,99521.03802641433,414714,65186aa69bd79ef648675cbb,Çanakkale,17,99569.40351551367,559383,65186aa69bd79ef648675cbc,Kırklareli,39,100459.20735474824,369347,65186aa69bd79ef648675cbd,Balıkesir,10,103644.78250343089,1257590,65186aa69bd79ef648675cbe,0
65186aa69bd79ef648675cc0,ZLmKVuP1zEmts,kandilli,KAVAKKOY-SILIFKE (MERSIN),2023-09-30T08:05:21.000Z,2.5,6.6,Point,33.8017,36.7433,Karaman,70,52217.72522735897,260838,Mersin,33,1916432,Karaman,70,52217.72522735897,260838,65186aa69bd79ef648675cc1,Niğde,51,151504.2261987409,365419,65186aa69bd79ef648675cc2,Konya,42,163118.2604894597,2296347,65186aa69bd79ef648675cc3,Kıbrıs,82,181573.3690472079,888000,65186aa69bd79ef648675cc4,Adana,1,183450.57461087572,2274106,65186aa69bd79ef648675cc5,0
65186aa69bd79ef648675cc7,jZktrf_8Q39Fb,kandilli,KUSADASI KORFEZI (EGE DENIZI),2023-09-30T07:55:56.000Z,1.5,5.3,Point,27.0162,37.8407,Aydın,9,82283.87869107455,1148241,Ege Denizi,-1,,Aydın,9,82283.87869107455,1148241,65186aa69bd79ef648675cc8,İzmir,35,87762.6041515471,4462056,65186aa69bd79ef648675cc9,Manisa,45,137828.78457002834,1468279,65186aa69bd79ef648675cca,Muğla,48,159728.60607554813,1048185,65186aa69bd79ef648675ccb,Denizli,20,201356.8886233876,1056332,65186aa69bd79ef648675ccc,0
65186aa79bd79ef648675cce,HDHjTmCL48dZ9,kandilli,SATIRHUYUK-NURDAGI (GAZIANTEP),2023-09-30T07:55:56.000Z,1.2,6.6,Point,36.9962,37.2022,Kilis,79,44822.31025780638,147919,Gaziantep,27,2154051,Kilis,79,44822.31025780638,147919,65186aa79bd79ef648675ccf,Osmaniye,80,63423.579820866165,559405,65186aa79bd79ef648675cd0,Kahramanmaraş,46,79634.12169253813,1177436,65186aa79bd79ef648675cd1,Hatay,31,109800.76725846888,1686043,65186aa79bd79ef648675cd2,Adana,1,124534.04808781798,2274106,65186aa79bd79ef648675cd3,0
65186aa79bd79ef648675cd5,3H0fAvkaUJmwE,kandilli,ATALAR-SEHITKAMIL (GAZIANTEP),2023-09-30T07:28:03.000Z,1.1,4.9,Point,37.0063,37.193,Kilis,79,43583.937006241635,147919,Gaziantep,27,2154051,Kilis,79,43583.937006241635,147919,65186aa79bd79ef648675cd6,Osmaniye,80,64492.52064382419,559405,65186aa79bd79ef648675cd7,Kahramanmaraş,46,80665.41746199645,1177436,65186aa79bd79ef648675cd8,Hatay,31,109550.99497565959,1686043,65186aa79bd79ef648675cd9,Adana,1,125677.64427758455,2274106,65186aa79bd79ef648675cda,0
